code_paiement;date_paiement;filiale;fournisseur;montant;type_paiement;statut;banque;numero_compte;beneficiaire;reference;notes
;03/02/2026;JETA ENGINEERING SA;SOGEM TP;102.968.055,00;Traite;Validé;AFG JE;;SOGEM TP;;EFFETS A L'ENCAISSEMENT-REGLEMENT
;22/10/2025;JETA GROUPE HOLDING;AUTO DESIGN BARAKA;15.000.000,00;Cash;Validé;CASH HOLDING;;AUTO DESIGN BARAKA;;DECAISSEMENT // M KAHIL HASSAN ALEXIS // AUTODESIGN BARAKA
;24/12/2025;JETA GROUPE HOLDING;ELITE PROTECTION SECURITE;3.000.000,00;Cash;Validé;CASH HOLDING;;ELITE PROTECTION SECURITE;;11-2025
;09/01/2026;JETA GROUPE HOLDING;SOCIETE PRESTIGE AUTO LUXE;5.000.000,00;Cash;Validé;CASH HOLDING;;SOCIETE PRESTIGE AUTO LUXE;;REGLEMENT RELIQUAT SUR CHEQUE IMPAYE M JABER ALI/SOCIETE PRESTIGE AUTO
;10/01/2026;JETA GROUPE HOLDING;TAYAM EVENT;2.247.000,00;Cash;Validé;CASH HOLDING;;TAYAM EVENT;;REGLEMET RELIQUAT FACTURE + FACTURE ADDITIVE TAYAM EVENT  M DELPECHE VALERY DAVID / TAYAM EVENT
;16/01/2026;JETA GROUPE HOLDING;ELITE PROTECTION SECURITE;3.795.000,00;Cash;Validé;CASH HOLDING;;ELITE PROTECTION SECURITE;;REGLEMENT RELIQUAT FACTURE ELITE PROTECTION  M EYI ONDO FREDY
;21/01/2026;JETA GROUPE HOLDING;JAL DECO;600.000,00;Cash;Validé;CASH HOLDING;;JAL DECO;;REGLEMENT DE 03 PORTES CAPITONNES BUREAUX PDG  JAL DECO/MME LEONIE ASSABA
;21/01/2026;JETA GROUPE HOLDING;JAL DECO;1.869.750,00;Cash;Validé;CASH HOLDING;;JAL DECO;;PAIEMENT FRAIS DE POSE STORE A LA DAS TROPIGAB JAL DECO/MME LEONIE ASSABA
;21/01/2026;JETA GROUPE HOLDING;JAL DECO;3.733.200,00;Cash;Validé;CASH HOLDING;;JAL DECO;;REGLEMENT FACTURE POUR REMPLACEMENT TAPIS ESCALIERS DU HALL JAL DECO/MME LEONIE ASSABA
;21/01/2026;JETA GROUPE HOLDING;SONAPRESSE;398.700,00;Cash;Validé;CASH HOLDING;;SONAPRESSE;;PAIMENT FACTURE POUR MISE EN PLACE D'UN N MANUEL DE PROCEDURE  SONAPRESSE
;21/01/2026;JETA GROUPE HOLDING;CABINET MEDICAL NESTY;265.000,00;Cash;Validé;CASH HOLDING;;CABINET MEDICAL NESTY;;REGLEMENT FACTURE POUR VISITE MEDICALE AGENTS JETA ENG CABINET MEDICAL NESTY
;22/01/2026;JETA GROUPE HOLDING;GIPA GABONAISE D'IMPRIMERIE ET DE PAPETERIE SA;85.000,00;Cash;Validé;CASH HOLDING;;GIPA GABONAISE D'IMPRIMERIE ET DE PAPETERIE SA;;ACHAT CLASSEUR POUR LA COMPTABILITE  M RAPHAEL
;22/01/2026;JETA GROUPE HOLDING;GLOBAL ELECTRONIC & SERVICES;1.317.575,00;Cash;Validé;CASH HOLDING;;GLOBAL ELECTRONIC & SERVICES;;ACHAT DE 03 POSTES PORTATIF DE COMMUNICATION AVEC INSTALLATION POUR LA HOLDING  GLOBAL ELECTRONIC SERVICE/ GLOBAL ELECTRONIC  ET SERVICES
;28/01/2026;JETA GROUPE HOLDING;GABON TELECOM;20.000.000,00;Cash;Validé;CASH HOLDING;;GABON TELECOM;;AVANCE SUR FACTURE GABON TELECOM OCTOBRE/NOVEMBRE /DECEMBRE  M MOUSSAVOU ELOI
;06/02/2026;JETA GROUPE HOLDING;SOCIETE PRESTIGE AUTO LUXE;10.000.000,00;Cash;Validé;CASH HOLDING;;SOCIETE PRESTIGE AUTO LUXE;;AVANCE SUR FACTURE/RETOUR CHEQUE IMPAYE  M ALI JABER
;09/02/2026;JETA GROUPE HOLDING;TRAVEL POINT;2.440.000,00;Cash;Validé;CASH HOLDING;;TRAVEL POINT;;ACHAT BILLET D'AVION POUR ABIDJAN  TRAVEL POINT / M SAXENA AYUSH
;10/02/2026;JETA GROUPE HOLDING;SOCIETE NICOF;2.800.000,00;Cash;Validé;CASH HOLDING;;SOCIETE NICOF;;SOLDE DE TOUT COMPTE EX EMPLOYE SOCIETE NCOF M NIANG MAMADOU
;10/02/2026;JETA GROUPE HOLDING;AUTO DESIGN BARAKA;20.000.000,00;Cash;Validé;CASH HOLDING;;AUTO DESIGN BARAKA;;PAIEMENT ESPECE/ RETOUR CHEQUE IMPAYE /ACCORD PDG AGANO M KAHIL HASSAN ALEXIS
;19/02/2026;JETA GROUPE HOLDING;GABON TELECOM;2.247.953,00;Cash;Validé;CASH HOLDING;;GABON TELECOM;;REGLEMENT FACTURE GABON TELECOM M MOUSSAVOU ELOI
;06/03/2026;JETA GROUPE HOLDING;TRAVEL POINT;27.300.000,00;Cash;Validé;CASH HOLDING;;TRAVEL POINT;;ACHAT BILLET D'AVION COLLABORATEURS MAROCAINS  TRAVEL POINT/M PUNJABI HITESH
;10/03/2026;JETA GROUPE HOLDING;HARIOM TRAVELS;18.349.000,00;Cash;Validé;CASH HOLDING;;HARIOM TRAVELS;;ACHAT DE 05 BILLETS D'AVION ABIDJAN-PARIS/ACCORD PDG AGANO HARIOM TRAVELS/ M GHANDI CHIRAG ASHOKKUMAR
;18/02/2026;JETACOMM;SARL PRIMEDIA GABON;6.000.000,00;Cash;Validé;CASH JETACOM;;SARL PRIMEDIA GABON;;PAIEMENT ESPECE/CHEQUE IMPAYE /TRAVAUX TOTEM JETACOM M ALI KOTEICHE / PRIMEDIA
;09/01/2024;LE ROI DES CHANTIERS;NF TP;72.800.000,00;Virement;Validé;BGFI LRC;;NF TP;;VIR.EMIS  NF TP
;10/01/2024;LE ROI DES CHANTIERS;BAMBA RASSOUL;900.000,00;Chèque;Validé;BGFI LRC;;BAMBA RASSOUL;;RETRAIT CH 8878729 MBAYE EL H
;11/01/2024;LE ROI DES CHANTIERS;AS PRO CONNECT;3.799.343,00;Chèque;Validé;BGFI LRC;;AS PRO CONNECT;;RETRAIT CH 8878731 ASSOUMOU E
;11/01/2024;LE ROI DES CHANTIERS;L'HABITAT;2.554.160,00;Chèque;Validé;BGFI LRC;;L'HABITAT;;CHEQUE NO  8878728
;15/01/2024;LE ROI DES CHANTIERS;SOCIETE GLOBE TROTTER;2.610.050,00;Chèque;Validé;BGFI LRC;;SOCIETE GLOBE TROTTER;;CHEQUE NO  8878726
;16/01/2024;LE ROI DES CHANTIERS;AUTO DESIGN BARAKA;80.000.000,00;Chèque;Validé;BGFI LRC;;AUTO DESIGN BARAKA;;CHEQUE NO  8878733
;16/01/2024;LE ROI DES CHANTIERS;KIMIA SERVICES SUARL;5.741.110,00;Chèque;Validé;BGFI LRC;;KIMIA SERVICES SUARL;;CHEQUE NO  8878732
;18/01/2024;LE ROI DES CHANTIERS;BRICORAMA;32.500.000,00;Virement;Validé;AFG LRC;;BRICORAMA;;TRANSFERT    COMPTE   A  COMPTE   0/  LE ROIDES  CHANTIERS    F/  BRICORAMA     - O/LE  ROI DES  CHANTIERS F/BRICORAMA/RGLMT       FACTURE         01 LE  ROI  DES  CHANTIERSF/     BRICORAMA O/LE  ROI  DES  CHANTIERS F/BRICORAMA/RGLMT       FACTURE
;19/01/2024;LE ROI DES CHANTIERS;BATIPLUS;34.815.000,00;Virement;Validé;BGFI LRC;;BATIPLUS;;VIR.EMIS  BATI PLUS
;22/01/2024;LE ROI DES CHANTIERS;CFAO Comptoir Francais De L'Afrique Occidentale;33.333.333,00;Traite;Validé;AFG LRC;;CFAO Comptoir Francais De L'Afrique Occidentale;;EFFETS   A L'ENCAISSEMENT- REGLEMENT
;22/01/2024;LE ROI DES CHANTIERS;IDEES 2000;13.627.637,00;Chèque;Validé;AFG LRC;;IDEES 2000;;REMISE   DE  CHEQUE    INTRA   Num  cheq: 0000151
;24/01/2024;LE ROI DES CHANTIERS;MY CHIC HOME;7.090.200,00;Chèque;Validé;BGFI LRC;;MY CHIC HOME;;RETRAIT CH 8878739 MME ABEGHE
;24/01/2024;LE ROI DES CHANTIERS;AUTO DESIGN BARAKA;78.000.000,00;Virement;Validé;AFG LRC;;AUTO DESIGN BARAKA;;VIREMENT    EMIS     0/  LE  ROI DES CHANTIERS    F/  AUTO  DISIGN   BARAKA FACTURE    ACQUISITION
;30/01/2024;LE ROI DES CHANTIERS;DIESEL GABON SA;10.419.432,00;Chèque;Validé;AFG LRC;;DIESEL GABON SA;;REMISE   DE  CHEQUE    INTRA   Num  cheq: 0000154
;30/01/2024;LE ROI DES CHANTIERS;CFAO Comptoir Francais De L'Afrique Occidentale;5.978.560,00;Virement;Validé;AFG LRC;;CFAO Comptoir Francais De L'Afrique Occidentale;;TRANSFERT     COMPTE    A COMPTE   0/ LE ROIDES  CHANTIERS    F/  COMPAGNIE FRANÇAISE    DE  L’AFRIQUE    OC  - O/LE ROI DES  CHANTIERS    F/CFAO   MOTORS GABON/RGLMT     FACTURE         0/ LE  ROI DES  CHANTIERSF/     COMPAGNIE FRANÇAISE    DE  L’AFRIQUE    OC:  O/LE ROI  DES  CHANTIERS    F/CFAO   MOTORS GABON/RGLMT     FACTURE
;05/02/2024;LE ROI DES CHANTIERS;BAHGAGNI LUXURY ELECTRO;19.950.000,00;Chèque;Validé;AFG LRC;;BAHGAGNI LUXURY ELECTRO;;RETRAIT   D'ESPECES    PAR  CHEQUE    - Chèque   Num:  0000003
;05/02/2024;LE ROI DES CHANTIERS;AXA ASSURANCES GABON;33.617.251,00;Virement;Validé;AFG LRC;;AXA ASSURANCES GABON;;TRANSFERT    COMPTE    A COMPTE   0/  LE ROI  DES  CHANTIERS    F/  SOCIETE   AXA ASSURANCES     GABON   - O/LE  ROI  DES CHANTIERS     F/AXA   GABON/RGLMT FACTURE    ASSURANCE          01 LE  ROI DESCHANTIERSF/     SOCIETE   AXA ASSURANCES     GABON:   O/LE  ROI  DES CHANTIERS    F/AXA  GABON/RGLMT FACTURE    ASSURANCE
;13/02/2024;LE ROI DES CHANTIERS;BRICORAMA;5.950.000,00;Chèque;Validé;BGFI LRC;;BRICORAMA;;CHEQUE NO  8878744
;13/02/2024;LE ROI DES CHANTIERS;SOGEM TP;5.212.200,00;Chèque;Validé;BGFI LRC;;SOGEM TP;;CHEQUE NO  8878745
;08/03/2024;LE ROI DES CHANTIERS;AXA ASSURANCES GABON;8.123.530,00;Chèque;Validé;AFG LRC;;AXA ASSURANCES GABON;;REMISE   DE  CHEQUE   INTRA   Num  cheq: 0000155
;08/03/2024;LE ROI DES CHANTIERS;DK ENERGIES;1.447.421,00;Chèque;Validé;AFG LRC;;DK ENERGIES;;CHEQUE   REÇUS    Num  cheq:  0000156
;11/03/2024;LE ROI DES CHANTIERS;GABON TECH;1.611.675,00;Chèque;Validé;AFG LRC;;GABON TECH;;CHEQUE   REÇUS    Num  cheq:  0000021
;14/03/2024;LE ROI DES CHANTIERS;TRACTAFRIC EQUIPMENT GABON;6.154.047,00;Chèque;Validé;BGFI LRC;;TRACTAFRIC EQUIPMENT GABON;;CHEQUE NO  8878749
;14/03/2024;LE ROI DES CHANTIERS;CFAO Comptoir Francais De L'Afrique Occidentale;1.087.552,00;Chèque;Validé;AFG LRC;;CFAO Comptoir Francais De L'Afrique Occidentale;;CHEQUE   REÇUS    Num  cheq   0000157
;18/03/2024;LE ROI DES CHANTIERS;CIMAF;15.600.000,00;Virement;Validé;AFG LRC;;CIMAF;;VIREMENT    EMIS     0/  LE  ROI  DES CHANTIERS    F/ CIMAF  REGLEMENT FACTURE
;18/03/2024;LE ROI DES CHANTIERS;MBOLO SAMBA;3.523.500,00;Chèque;Validé;AFG LRC;;MBOLO SAMBA;;RETRAIT   D’ESPECES    PAR CHEQUE    - Chèque   Num:  0000050
;19/03/2024;LE ROI DES CHANTIERS;GABON TECH;5.115.398,00;Chèque;Validé;AFG LRC;;GABON TECH;;CHEQUE   REÇUS    Num  cheq:  0000161
;19/03/2024;LE ROI DES CHANTIERS;SSPG;5.289.850,00;Chèque;Validé;AFG LRC;;SSPG;;CHEQUE   REÇUS    Num  cheq:  0000159
;20/03/2024;LE ROI DES CHANTIERS;EASYTECH AFRICA;6.954.016,00;Chèque;Validé;AFG LRC;;EASYTECH AFRICA;;REMISE   DE  CHEQUE   INTRA    Num  cheq: 0000160
;21/03/2024;LE ROI DES CHANTIERS;CFAO Comptoir Francais De L'Afrique Occidentale;114.000.000,00;Virement;Validé;AFG LRC;;CFAO Comptoir Francais De L'Afrique Occidentale;;TRANSFERT COMPTE   A COMPTE   0/  LE ROI DES  CHANTIERS    F/ COMPAGNIE FRANÇAISE    DE  L'AFRIQUE    OC  - O/LE ROI DES  CHANTIERS    F/CFAO   MOTORS GABON/RGLMT      FACTURE      0/  LE  ROI DES CHANTIERSF/ COMPAGNIE FRANÇAISE     DE  L'AFRIQUE    OC:  O/LE ROI  DES  CHANTIERS    F/CFAO MOTORS GABON/RGLMT     FACTURE
;21/03/2024;LE ROI DES CHANTIERS;EYS LEADERS COM;3.000.000,00;Chèque;Validé;AFG LRC;;EYS LEADERS COM;;RETRAIT   D'ESPECES    PAR CHEQUE     - Chèque  Num:  0000052
;22/03/2024;LE ROI DES CHANTIERS;AUTO DESIGN BARAKA;70.000.000,00;Chèque;Validé;BGFI LRC;;AUTO DESIGN BARAKA;;RETRAIT CH 8878755 HUMBERT  S
;22/03/2024;LE ROI DES CHANTIERS;EBTP, Entreprise Bâtiment et Travaux Publics;20.900.000,00;Chèque;Validé;AFG LRC;;EBTP, Entreprise Bâtiment et Travaux Publics;;CHEQUE   REÇUS    Num  cheq:  0000175
;22/03/2024;LE ROI DES CHANTIERS;FREEDOM SERVICES;1.500.000,00;Chèque;Validé;AFG LRC;;FREEDOM SERVICES;;CHEQUE    REÇUS    Num  cheq:  0000163
;22/03/2024;LE ROI DES CHANTIERS;BERNABE GABON SA;38.080.000,00;Virement;Validé;AFG LRC;;BERNABE GABON SA;;TRANSFERT    COMPTE   A COMPTE   0/  LE ROI  DES  CHANTIERS    F/  SOCIETE BERNABE    GABON   - O/LE  ROI  DES CHANTIERS    F/BERNABE GABON/RGLMT     FOURNISSEURS           0/ LE  ROI  DES  CHANTIERSF/     SOCIETE BERNABE   GABON:   O/LE  ROI  DES CHANTIERS    F/BERNABE GABON/RGLMT     FOURNISSEURS
;25/03/2024;LE ROI DES CHANTIERS;CFAO Comptoir Francais De L'Afrique Occidentale;33.333.333,00;Traite;Validé;AFG LRC;;CFAO Comptoir Francais De L'Afrique Occidentale;;EFFETS   A  L'ENCAISSEMENT- REGLEMENT
;25/03/2024;LE ROI DES CHANTIERS;EXPRESS PNEUS;2.680.000,00;Chèque;Validé;AFG LRC;;EXPRESS PNEUS;;RETRAIT   D’ESPECES    PAR  CHEQUE    - Chèque   Num:  0000065
;25/03/2024;LE ROI DES CHANTIERS;CFAO Comptoir Francais De L'Afrique Occidentale;33.333.333,00;Traite;Validé;AFG LRC;;CFAO Comptoir Francais De L'Afrique Occidentale;;VIREMENT    RGLT  EFFET   CFAO MOTORS   ECH/20/02/24
;25/03/2024;LE ROI DES CHANTIERS;GABON TECH;2.531.750,00;Chèque;Validé;AFG LRC;;GABON TECH;;CHEQUE   REÇUS    Num  cheq:  0000176
;25/03/2024;LE ROI DES CHANTIERS;MBOLO SAMBA;1.296.750,00;Chèque;Validé;AFG LRC;;MBOLO SAMBA;;CHEQUE   REÇUS    Num  cheq:  0000177
;25/03/2024;LE ROI DES CHANTIERS;AUTO DESIGN BARAKA;70.000.000,00;Chèque;Validé;AFG LRC;;AUTO DESIGN BARAKA;;CHEQUE   REÇUS    Num  cheq   0000066
;26/03/2024;LE ROI DES CHANTIERS;GENERAL DE PRESTATIONS TRANSIT;28.891.661,00;Chèque;Validé;AFG LRC;;GENERAL DE PRESTATIONS TRANSIT;;RETRAIT    D'ESPECES    PAR  CHEQUE    - Chèque   Num:  0000067
;26/03/2024;LE ROI DES CHANTIERS;AUTO DESIGN BARAKA;50.000.000,00;Chèque;Validé;AFG LRC;;AUTO DESIGN BARAKA;;CHEQUE   REÇUS    Num  cheq   0000076
;26/03/2024;LE ROI DES CHANTIERS;AUTO DESIGN BARAKA;50.000.000,00;Chèque;Validé;AFG LRC;;AUTO DESIGN BARAKA;;CHEQUE   REÇUS    Num  cheq:  0000077
;27/03/2024;LE ROI DES CHANTIERS;SOCIETE GLOBE TROTTER;11.769.250,00;Chèque;Validé;BGFI LRC;;SOCIETE GLOBE TROTTER;;CHEQUE NO  8878757
;02/04/2024;LE ROI DES CHANTIERS;AUDI AFRICA ARCHI;30.000.000,00;Chèque;Validé;AFG LRC;;AUDI AFRICA ARCHI;;RETRAIT   D'ESPECES    PAR  CHEQUE    - Chèque   Num:  0000084
;02/04/2024;LE ROI DES CHANTIERS;MYEL BTP;50.000.000,00;Chèque;Validé;AFG LRC;;MYEL BTP;;RETRAIT   D'ESPECES    PAR  CHEQUE    - Chèque   Num:  0000083
;02/04/2024;LE ROI DES CHANTIERS;CREDIT BAIL AFG;84.027.780,00;Opération bancaire;Validé;AFG LRC;;CREDIT BAIL AFG;;VIREMENT    PRELEVEMENT     1ER LOYER/DOSS    .2024030002
;02/04/2024;LE ROI DES CHANTIERS;CREDIT BAIL AFG;31.223.779,00;Opération bancaire;Validé;AFG LRC;;CREDIT BAIL AFG;;VIREMENT    PRELEVEMENT      1ER LOYER/DOSS.    2024030002
;02/04/2024;LE ROI DES CHANTIERS;AUTO DESIGN BARAKA;33.000.000,00;Chèque;Validé;AFG LRC;;AUTO DESIGN BARAKA;;RETRAIT   D’ESPECES    PAR CHEQUE    - Chèque   Num:  0000085
;03/04/2024;LE ROI DES CHANTIERS;CETGS;5.000.000,00;Chèque;Validé;BGFI LRC;;CETGS;;CHEQUE NO  8878763
;03/04/2024;LE ROI DES CHANTIERS;GRAFRIQUE;237.900,00;Chèque;Validé;BGFI LRC;;GRAFRIQUE;;CHEQUE NO  8878758
;03/04/2024;LE ROI DES CHANTIERS;GRAFRIQUE;689.500,00;Chèque;Validé;BGFI LRC;;GRAFRIQUE;;CHEQUE NO  8878764
;03/04/2024;LE ROI DES CHANTIERS;BATIPLUS;1.595.655,00;Chèque;Validé;BGFI LRC;;BATIPLUS;;CHEQUE NO  8878760
;03/04/2024;LE ROI DES CHANTIERS;TRACTAFRIC EQUIPMENT GABON;400.000.000,00;Virement;Validé;AFG LRC;;TRACTAFRIC EQUIPMENT GABON;;TRANSFERT    COMPTE   A COMPTE   0/  LE ROI  DES  CHANTIERS    FZTRACTAFRIC EQUIPMENT    GABON- O/LE  ROI DES CHANTIERS    F/TRACTAFRIC/RGLMT FACTURE     0/ LE  ROI DES CHANTIERSF/     TRACTAFRIC EQUIPMENT    GABON:   O/LE  ROI  DES CHANTIERS    F/TRACTAFRIC/RGLMT FACTURE
;03/04/2024;LE ROI DES CHANTIERS;MAUVILAC INDUSTRIES AFRICA GABON;55.890.669,00;Virement;Validé;AFG LRC;;MAUVILAC INDUSTRIES AFRICA GABON;;TRANSFERT  COMPTE   A COMPTE   0/ LE ROI DES  CHANTIERS    F/  PPG  GABON   - RGT FACTUREO/LE  ROI DES CHANTIERS    FAVEUR   MIA  GABON      0/ LE  ROI  DES  CHANTIERSFZ  PPG GABON: RGT FACTURE   O/LE  ROI DES CHANTIERS    FAVEUR MIA  GABON
;05/04/2024;LE ROI DES CHANTIERS;BATIPLUS;91.225.901,00;Virement;Validé;AFG LRC;;BATIPLUS;;TRANSFERT COMPTE A COMPTE 0/  LE ROI DES CHANTIERS F/ BATI PLUS - O/LE ROI DES CHANTIERS F/BATI PLUS/RGLMT FACTURE     0/ LE ROI DES CHANTIERSF/ BATI  PLUS: O/LE ROI DES CHANTIERS F/BATI PLUS/RGLMT FACTURE
